"fuente";"columna";"valores_distintos_en_fuente";"valor";"observaciones"
GEIH;CATEGORY;599;"2634";2018
GEIH;CATEGORY;599;"2635";1561
GEIH;CATEGORY;599;"2636";1512
GEIH;CATEGORY;599;"2641";390
GEIH;CATEGORY;599;"2642";1143
GEIH;CATEGORY;599;"2643";567
GEIH;CATEGORY;599;"2651";978
GEIH;CATEGORY;599;"2652";1467
GEIH;CATEGORY;599;"2653";236
GEIH;CATEGORY;599;"2654";562
GEIH;CATEGORY;599;"2655";158
GEIH;CATEGORY;599;"2656";675
GEIH;CATEGORY;599;"2659";560
EXPORTACIONES;CATEGORY;341;"27";628
GEIH;CATEGORY;599;"27";2638
EXPORTACIONES;CATEGORY;341;"28";372
GEIH;CATEGORY;599;"28";3883
EXPORTACIONES;CATEGORY;341;"29";372
GEIH;CATEGORY;599;"29";3078
EXPORTACIONES;CATEGORY;341;"3";582
GEIH;CATEGORY;599;"3";78076
EXPORTACIONES;CATEGORY;341;"30";372
GEIH;CATEGORY;599;"30";5738
EXPORTACIONES;CATEGORY;341;"31";372
GEIH;CATEGORY;599;"31";8252
EXPORTACIONES;CATEGORY;341;"310";330
GEIH;CATEGORY;599;"310";1113
GEIH;CATEGORY;599;"3111";615
GEIH;CATEGORY;599;"3112";931
GEIH;CATEGORY;599;"3113";1671
GEIH;CATEGORY;599;"3114";929
GEIH;CATEGORY;599;"3115";1303
GEIH;CATEGORY;599;"3116";206
GEIH;CATEGORY;599;"3117";357
GEIH;CATEGORY;599;"3118";940
GEIH;CATEGORY;599;"3119";441
GEIH;CATEGORY;599;"3121";544
GEIH;CATEGORY;599;"3122";1215
GEIH;CATEGORY;599;"3123";2290
GEIH;CATEGORY;599;"3131";355
GEIH;CATEGORY;599;"3132";711
GEIH;CATEGORY;599;"3133";234
GEIH;CATEGORY;599;"3134";444
GEIH;CATEGORY;599;"3135";338
GEIH;CATEGORY;599;"3139";296
GEIH;CATEGORY;599;"3141";205
GEIH;CATEGORY;599;"3142";720
GEIH;CATEGORY;599;"3143";217
GEIH;CATEGORY;599;"3151";268
GEIH;CATEGORY;599;"3152";263
GEIH;CATEGORY;599;"3153";358
GEIH;CATEGORY;599;"3154";349
GEIH;CATEGORY;599;"3155";104
EXPORTACIONES;CATEGORY;341;"32";372
GEIH;CATEGORY;599;"32";8940
GEIH;CATEGORY;599;"3211";666
GEIH;CATEGORY;599;"3212";734
GEIH;CATEGORY;599;"3213";1344
GEIH;CATEGORY;599;"3214";724
GEIH;CATEGORY;599;"3221";457
GEIH;CATEGORY;599;"3222";65
GEIH;CATEGORY;599;"3230";422
GEIH;CATEGORY;599;"3240";528
GEIH;CATEGORY;599;"3251";614
GEIH;CATEGORY;599;"3252";261
GEIH;CATEGORY;599;"3253";594
GEIH;CATEGORY;599;"3254";156
GEIH;CATEGORY;599;"3255";368
GEIH;CATEGORY;599;"3256";175
GEIH;CATEGORY;599;"3257";1240
GEIH;CATEGORY;599;"3258";192
GEIH;CATEGORY;599;"3259";99
GEIH;CATEGORY;599;"33";9974
GEIH;CATEGORY;599;"3311";546
GEIH;CATEGORY;599;"3312";1318
GEIH;CATEGORY;599;"3313";886
GEIH;CATEGORY;599;"3314";104
GEIH;CATEGORY;599;"3315";669
GEIH;CATEGORY;599;"3321";1263
GEIH;CATEGORY;599;"3322";2389
GEIH;CATEGORY;599;"3323";616
GEIH;CATEGORY;599;"3324";1139
GEIH;CATEGORY;599;"3331";449
GEIH;CATEGORY;599;"3332";1013
GEIH;CATEGORY;599;"3333";137
GEIH;CATEGORY;599;"3334";1673
GEIH;CATEGORY;599;"3339";1162
GEIH;CATEGORY;599;"3341";2182
GEIH;CATEGORY;599;"3342";895
GEIH;CATEGORY;599;"3343";1806
GEIH;CATEGORY;599;"3344";1172
GEIH;CATEGORY;599;"3351";286
GEIH;CATEGORY;599;"3352";292
GEIH;CATEGORY;599;"3353";272
GEIH;CATEGORY;599;"3354";129
GEIH;CATEGORY;599;"3355";994
GEIH;CATEGORY;599;"3359";1376
EXPORTACIONES;CATEGORY;341;"34";48
GEIH;CATEGORY;599;"34";4075
GEIH;CATEGORY;599;"3411";1180
GEIH;CATEGORY;599;"3412";793
GEIH;CATEGORY;599;"3413";306
GEIH;CATEGORY;599;"3421";370
GEIH;CATEGORY;599;"3422";1751
GEIH;CATEGORY;599;"3423";1263
GEIH;CATEGORY;599;"3431";1051
GEIH;CATEGORY;599;"3432";988
GEIH;CATEGORY;599;"3433";206
GEIH;CATEGORY;599;"3434";1264
GEIH;CATEGORY;599;"3435";929
EXPORTACIONES;CATEGORY;341;"35";730
GEIH;CATEGORY;599;"35";7451
GEIH;CATEGORY;599;"3511";1117
GEIH;CATEGORY;599;"3512";1141
GEIH;CATEGORY;599;"3513";846
